City,Guest Satisfaction,average_distance_metro
Rome,87.0,0.6104111497355609
Rome,88.0,0.4847019609291758
Rome,89.0,0.45644468733100474
Rome,90.0,0.5320845760147013
Rome,91.0,0.5412161320581262
Rome,92.0,0.5252578310842482
Rome,93.0,0.558913343630596
Rome,94.0,0.5496945908700224
Rome,95.0,0.5699655630297947
Rome,96.0,0.574838943113479
Rome,97.0,0.5496234335455358
Rome,98.0,0.5451275938960383
Rome,99.0,0.5240327253761217
Rome,100.0,0.5477444568235929
Vienna,20.0,1.0522979059978312
Vienna,40.0,0.24215700033729048
Vienna,47.0,0.14873403036279953
Vienna,50.0,0.2979644048089479
Vienna,60.0,0.5462201801397758
Vienna,63.0,0.9176320666799052
Vienna,65.0,0.3136568223266913
Vienna,67.0,0.3099755729495628
Vienna,68.0,0.3599792904433598
Vienna,69.0,0.5333385506296525
Vienna,70.0,0.46273481616978906
Vienna,71.0,0.6120602467965782
